,HHID,O,O1,O2
1680,03160500103010,1.0,2.0,
1681,03160500103010,2.0,2.0,
1682,03160500103023,1.0,2.0,
1683,03160500103023,2.0,2.0,
1684,03160500103036,1.0,2.0,
1685,03160500103036,2.0,2.0,
1686,03160500103049,1.0,2.0,
1687,03160500103049,2.0,2.0,
1688,03160500103062,1.0,2.0,
1689,03160500103062,2.0,2.0,
1690,03160500103075,1.0,2.0,
1691,03160500103075,2.0,2.0,
1692,03160500103088,1.0,2.0,
1693,03160500103088,2.0,2.0,
1694,03160500103101,1.0,2.0,
1695,03160500103101,2.0,2.0,
1696,03160500103114,1.0,2.0,
1697,03160500103114,2.0,2.0,
1698,03160500103127,1.0,2.0,
1699,03160500103127,2.0,2.0,
1700,03160500103140,1.0,2.0,
1701,03160500103140,2.0,2.0,
1702,03160500103153,1.0,2.0,
1703,03160500103153,2.0,2.0,
1704,03160600803010,1.0,2.0,
1705,03160600803010,2.0,1.0,2.0
1706,03160600803026,1.0,2.0,
1707,03160600803026,2.0,2.0,
1708,03160600803042,1.0,1.0,1.0
1709,03160600803042,2.0,1.0,1.0
1710,03160600803058,2.0,2.0,
1711,03160600803058,2.0,2.0,
1712,03160600803074,1.0,2.0,
1713,03160600803074,2.0,2.0,
1714,03160600803090,1.0,2.0,
1715,03160600803090,2.0,2.0,
1716,03160600803106,1.0,2.0,
1717,03160600803106,2.0,2.0,
1718,03160600803122,1.0,2.0,
1719,03160600803122,2.0,2.0,
1720,03160600803138,1.0,2.0,
1721,03160600803138,2.0,2.0,
1722,03160600803154,1.0,2.0,
1723,03160600803154,2.0,2.0,
1724,03160600803170,1.0,2.0,
1725,03160600803170,2.0,2.0,
1726,03160600803186,1.0,2.0,
1727,03160600803186,2.0,1.0,1.0
1728,03161500214007,1.0,2.0,
1729,03161500214007,2.0,2.0,
1730,03161500214018,1.0,2.0,
1731,03161500214018,2.0,2.0,
1732,03161500214029,1.0,2.0,
1733,03161500214029,2.0,2.0,
1734,03161500214040,1.0,2.0,
1735,03161500214040,2.0,2.0,
1736,03161500214051,1.0,2.0,
1737,03161500214051,2.0,2.0,
1738,03161500214062,1.0,2.0,
1739,03161500214062,2.0,2.0,
1740,03161500214073,1.0,2.0,
1741,03161500214073,2.0,2.0,
1742,03161500214084,1.0,2.0,
1743,03161500214084,2.0,2.0,
1744,03161500214095,1.0,2.0,
1745,03161500214095,2.0,2.0,
1746,03161500214106,1.0,2.0,
1747,03161500214106,2.0,2.0,
1748,03161500214117,1.0,2.0,
1749,03161500214117,2.0,2.0,
1750,03161500214128,1.0,2.0,
1751,03161500214128,2.0,2.0,
1752,03170400206005,1.0,2.0,
1753,03170400206005,2.0,2.0,
1754,03170400206025,1.0,2.0,
1755,03170400206025,2.0,2.0,
1756,03170400206045,1.0,2.0,
1757,03170400206045,2.0,2.0,
1758,03170400206065,1.0,2.0,
1759,03170400206065,2.0,2.0,
1760,03170400206085,1.0,2.0,
1761,03170400206085,2.0,2.0,
1762,03170400206105,1.0,2.0,
1763,03170400206105,2.0,2.0,
1764,03170400206125,1.0,2.0,
1765,03170400206125,2.0,2.0,
1766,03170400206145,1.0,1.0,1.0
1767,03170400206145,2.0,1.0,1.0
1768,03170400206165,1.0,2.0,
1769,03170400206165,2.0,2.0,
1770,03170400206185,1.0,2.0,
1771,03170400206185,2.0,2.0,
1772,03170400206205,1.0,2.0,
1773,03170400206205,2.0,2.0,
1774,03170400206225,1.0,2.0,
1775,03170400206225,2.0,2.0,
1776,03170401804019,1.0,2.0,
1777,03170401804019,2.0,2.0,
1778,03170401804043,1.0,2.0,
1779,03170401804043,2.0,2.0,
1780,03170401804067,1.0,2.0,
1781,03170401804067,2.0,2.0,
1782,03170401804091,1.0,2.0,
1783,03170401804091,2.0,2.0,
1784,03170401804115,1.0,1.0,1.0
1785,03170401804115,2.0,1.0,1.0
1786,03170401804139,1.0,2.0,
1787,03170401804139,1.0,2.0,
1788,03170401804163,1.0,2.0,
1789,03170401804163,1.0,2.0,
1790,03170401804187,1.0,2.0,
1791,03170401804187,2.0,2.0,
1792,03170401804211,1.0,2.0,
1793,03170401804211,2.0,2.0,
1794,03170401804235,1.0,2.0,
1795,03170401804235,2.0,2.0,
1796,03170401804259,1.0,2.0,
1797,03170401804259,2.0,2.0,
1798,03170401804283,1.0,2.0,
1799,03170401804283,2.0,2.0,
1800,03170403702010,1.0,2.0,
1801,03170403702010,2.0,2.0,
1802,03170403702030,1.0,2.0,
1803,03170403702030,2.0,2.0,
1804,03170403702050,1.0,2.0,
1805,03170403702050,2.0,2.0,
1806,03170403702070,1.0,2.0,
1807,03170403702070,2.0,2.0,
1808,03170403702090,1.0,2.0,
1809,03170403702090,2.0,2.0,
1810,03170403702110,1.0,2.0,
1811,03170403702110,2.0,2.0,
1812,03170403702130,1.0,2.0,
1813,03170403702130,2.0,2.0,
1814,03170403702150,1.0,2.0,
1815,03170403702150,1.0,2.0,
1816,03170403702170,2.0,2.0,
1817,03170403702170,2.0,2.0,
1818,03170403702190,1.0,2.0,
1819,03170403702190,2.0,2.0,
1820,03170403702210,1.0,2.0,
1821,03170403702210,2.0,2.0,
1822,03170403702230,1.0,2.0,
1823,03170403702230,2.0,2.0,
1824,03170500110018,1.0,2.0,
1825,03170500110018,2.0,2.0,
1826,03170500110045,1.0,2.0,
1827,03170500110045,2.0,2.0,
1828,03170500110072,1.0,2.0,
1829,03170500110072,2.0,2.0,
1830,03170500110099,1.0,2.0,
1831,03170500110099,2.0,2.0,
1832,03170500110126,1.0,2.0,
1833,03170500110126,2.0,2.0,
1834,03170500110153,1.0,2.0,
1835,03170500110153,2.0,2.0,
1836,03170500110180,1.0,2.0,
1837,03170500110180,2.0,2.0,
1838,03170500110207,1.0,2.0,
1839,03170500110207,2.0,2.0,
1840,03170500110234,1.0,2.0,
1841,03170500110234,2.0,2.0,
1842,03170500110261,1.0,2.0,
1843,03170500110261,2.0,2.0,
1844,03170500110288,1.0,2.0,
1845,03170500110288,2.0,2.0,
1846,03170500110315,1.0,2.0,
1847,03170500110315,2.0,2.0,
1848,03170601005004,1.0,2.0,
1849,03170601005004,1.0,2.0,
1850,03170601005016,1.0,2.0,
1851,03170601005016,2.0,2.0,
1852,03170601005028,1.0,1.0,1.0
1853,03170601005028,1.0,1.0,1.0
1854,03170601005040,1.0,1.0,1.0
1855,03170601005040,2.0,1.0,1.0
1856,03170601005052,1.0,2.0,
1857,03170601005052,2.0,2.0,
1858,03170601005064,1.0,2.0,
1859,03170601005064,2.0,2.0,
1860,03170601005076,1.0,2.0,
1861,03170601005076,2.0,2.0,
1862,03170601005088,1.0,2.0,
1863,03170601005088,2.0,2.0,
1864,03170601005100,1.0,2.0,
1865,03170601005100,2.0,2.0,
1866,03170601005112,1.0,2.0,
1867,03170601005112,2.0,2.0,
1868,03170601005124,1.0,2.0,
1869,03170601005124,2.0,2.0,
1870,03170601005136,1.0,2.0,
1871,03170601005136,2.0,2.0,
1872,03180100102002,2.0,2.0,
1873,03180100102002,2.0,2.0,
1874,03180100102005,2.0,2.0,
1875,03180100102005,2.0,2.0,
1876,03180100102008,1.0,2.0,
1877,03180100102008,1.0,2.0,
1878,03180100102016,1.0,2.0,
1879,03180100102016,1.0,2.0,
1880,03180100102035,1.0,2.0,
1881,03180100102035,2.0,2.0,
1882,03180100102054,1.0,2.0,
1883,03180100102054,2.0,2.0,
1884,03180100102073,2.0,2.0,
1885,03180100102073,2.0,2.0,
1886,03180100102092,2.0,2.0,
1887,03180100102092,2.0,2.0,
1888,03180100102111,1.0,2.0,
1889,03180100102111,2.0,2.0,
1890,03180100102130,2.0,2.0,
1891,03180100102130,2.0,2.0,
1892,03180100102149,1.0,1.0,4.0
1893,03180100102149,2.0,2.0,
1894,03180100102168,2.0,2.0,
1895,03180100102168,2.0,2.0,
1896,03180201302007,1.0,1.0,1.0
1897,03180201302007,2.0,2.0,
1898,03180201302024,1.0,1.0,1.0
1899,03180201302024,2.0,2.0,
1900,03180201302041,1.0,1.0,1.0
1901,03180201302041,2.0,2.0,
1902,03180201302058,1.0,1.0,1.0
1903,03180201302058,2.0,2.0,
1904,03180201302075,1.0,2.0,
1905,03180201302075,1.0,2.0,
1906,03180201302092,1.0,2.0,
1907,03180201302092,1.0,2.0,
1908,03180201302109,1.0,2.0,
1909,03180201302109,1.0,2.0,
1910,03180201302126,1.0,2.0,
1911,03180201302126,1.0,2.0,
1912,03180201302143,1.0,2.0,
1913,03180201302143,2.0,2.0,
1914,03180201302160,1.0,1.0,1.0
1915,03180201302160,2.0,2.0,
1916,03180201302177,1.0,2.0,
1917,03180201302177,2.0,2.0,
1918,03180201302194,1.0,1.0,1.0
1919,03180201302194,2.0,2.0,
1920,03180302503003,1.0,1.0,1.0
1921,03180302503003,2.0,2.0,
1922,03180302503019,1.0,1.0,1.0
1923,03180302503019,2.0,2.0,
1924,03180302503035,1.0,1.0,4.0
1925,03180302503035,2.0,2.0,
1926,03180302503051,1.0,1.0,1.0
1927,03180302503051,2.0,2.0,
1928,03180302503067,1.0,2.0,
1929,03180302503067,1.0,2.0,
1930,03180302503083,1.0,2.0,
1931,03180302503083,1.0,2.0,
1932,03180302503099,1.0,2.0,
1933,03180302503099,1.0,2.0,
1934,03180302503115,1.0,2.0,
1935,03180302503115,1.0,2.0,
1936,03180302503131,1.0,1.0,1.0
1937,03180302503131,2.0,2.0,
1938,03180302503147,1.0,2.0,
1939,03180302503147,2.0,2.0,
1940,03180302503163,1.0,2.0,
1941,03180302503163,2.0,2.0,
1942,03180302503179,1.0,2.0,
1943,03180302503179,2.0,2.0,
1944,03180700305005,1.0,2.0,
1945,03180700305005,2.0,2.0,
1946,03180700305017,1.0,2.0,
1947,03180700305017,2.0,2.0,
1948,03180700305029,1.0,2.0,
1949,03180700305029,2.0,2.0,
1950,03180700305041,1.0,2.0,
1951,03180700305041,2.0,2.0,
1952,03180700305053,1.0,1.0,4.0
1953,03180700305053,2.0,2.0,
1954,03180700305065,1.0,2.0,
1955,03180700305065,2.0,2.0,
1956,03180700305077,2.0,2.0,
1957,03180700305077,2.0,2.0,
1958,03180700305089,2.0,2.0,
1959,03180700305089,2.0,2.0,
1960,03180700305101,2.0,2.0,
1961,03180700305101,2.0,2.0,
1962,03180700305113,2.0,2.0,
1963,03180700305113,2.0,2.0,
1964,03180700305125,2.0,2.0,
1965,03180700305125,2.0,2.0,
1966,03180700305137,2.0,2.0,
1967,03180700305137,2.0,2.0,
1968,03190201401010,1.0,2.0,
1969,03190201401010,2.0,2.0,
1970,03190201401028,1.0,2.0,
1971,03190201401028,2.0,2.0,
1972,03190201401046,1.0,2.0,
1973,03190201401046,2.0,2.0,
1974,03190201401064,1.0,2.0,
1975,03190201401064,2.0,2.0,
1976,03190201401082,1.0,2.0,
1977,03190201401082,2.0,2.0,
1978,03190201401100,2.0,2.0,
1979,03190201401100,2.0,2.0,
1980,03190201401118,1.0,2.0,
1981,03190201401118,2.0,2.0,
1982,03190201401136,1.0,2.0,
1983,03190201401136,1.0,2.0,
1984,03190201401154,1.0,2.0,
1985,03190201401154,2.0,2.0,
1986,03190201401172,1.0,2.0,
1987,03190201401172,2.0,2.0,
1988,03190201401190,1.0,2.0,
1989,03190201401190,2.0,2.0,
1990,03190201401208,1.0,2.0,
1991,03190201401208,2.0,2.0,
1992,03190202501009,1.0,1.0,1.0
1993,03190202501009,2.0,2.0,
1994,03190202501030,1.0,2.0,
1995,03190202501030,2.0,2.0,
1996,03190202501051,1.0,2.0,
1997,03190202501051,2.0,2.0,
1998,03190202501072,1.0,2.0,
1999,03190202501072,2.0,2.0,
2000,03190202501093,1.0,2.0,
2001,03190202501093,2.0,2.0,
2002,03190202501114,1.0,2.0,
2003,03190202501114,2.0,2.0,
2004,03190202501135,1.0,1.0,1.0
2005,03190202501135,2.0,1.0,1.0
2006,03190202501156,1.0,2.0,
2007,03190202501156,2.0,2.0,
2008,03190202501177,1.0,1.0,1.0
2009,03190202501177,1.0,1.0,1.0
2010,03190202501198,1.0,1.0,1.0
2011,03190202501198,2.0,1.0,1.0
2012,03190202501219,1.0,2.0,
2013,03190202501219,2.0,2.0,
2014,03190202501240,1.0,1.0,1.0
2015,03190202501240,2.0,1.0,1.0
2016,03190402004013,1.0,2.0,
2017,03190402004013,2.0,2.0,
2018,03190402004031,1.0,2.0,
2019,03190402004031,2.0,2.0,
2020,03190402004046,1.0,2.0,
2021,03190402004046,2.0,2.0,
2022,03190402004067,1.0,2.0,
2023,03190402004067,2.0,2.0,
2024,03190402004082,1.0,2.0,
2025,03190402004082,2.0,2.0,
2026,03190402004100,1.0,2.0,
2027,03190402004100,2.0,2.0,
2028,03190402004118,1.0,2.0,
2029,03190402004118,2.0,2.0,
2030,03190402004136,1.0,2.0,
2031,03190402004136,2.0,2.0,
2032,03190402004154,1.0,2.0,
2033,03190402004154,1.0,2.0,
2034,03190402004172,1.0,2.0,
2035,03190402004172,2.0,2.0,
2036,03190402004190,1.0,2.0,
2037,03190402004190,2.0,2.0,
2038,03190402004208,1.0,2.0,
2039,03190402004208,2.0,2.0,
2040,03200100113021,1.0,2.0,
2041,03200100113021,2.0,2.0,
2042,03200100113042,1.0,2.0,
2043,03200100113042,2.0,2.0,
2044,03200100113063,1.0,2.0,
2045,03200100113063,2.0,2.0,
2046,03200100113084,1.0,2.0,
2047,03200100113084,2.0,2.0,
2048,03200100113105,1.0,2.0,
2049,03200100113105,2.0,2.0,
2050,03200100113126,1.0,2.0,
2051,03200100113126,1.0,2.0,
2052,03200100113147,1.0,2.0,
2053,03200100113147,2.0,2.0,
2054,03200100113168,1.0,2.0,
2055,03200100113168,1.0,2.0,
2056,03200100113189,1.0,2.0,
2057,03200100113189,1.0,2.0,
2058,03200100113210,1.0,2.0,
2059,03200100113210,2.0,2.0,
2060,03200100113231,1.0,2.0,
2061,03200100113231,1.0,2.0,
2062,03200100113252,1.0,2.0,
2063,03200100113252,1.0,2.0,
2064,03200100807010,1.0,2.0,
2065,03200100807010,2.0,2.0,
2066,03200100807020,1.0,2.0,
2067,03200100807020,1.0,2.0,
2068,03200100807048,1.0,2.0,
2069,03200100807048,2.0,2.0,
2070,03200100807076,1.0,2.0,
2071,03200100807076,2.0,2.0,
2072,03200100807082,1.0,2.0,
2073,03200100807082,2.0,2.0,
2074,03200100807104,1.0,2.0,
2075,03200100807104,1.0,2.0,
2076,03200100807132,1.0,2.0,
2077,03200100807132,1.0,2.0,
2078,03200100807154,1.0,2.0,
2079,03200100807154,1.0,2.0,
2080,03200100807160,1.0,2.0,
2081,03200100807160,2.0,2.0,
2082,03200100807188,1.0,2.0,
2083,03200100807188,2.0,2.0,
2084,03200100807216,1.0,2.0,
2085,03200100807216,1.0,2.0,
2086,03200100807244,2.0,2.0,
2087,03200100807244,2.0,2.0,
2088,03200200209001,1.0,2.0,
2089,03200200209001,2.0,2.0,
2090,03200200209010,1.0,2.0,
2091,03200200209010,2.0,2.0,
2092,03200200209019,1.0,2.0,
2093,03200200209019,2.0,2.0,
2094,03200200209028,1.0,2.0,
2095,03200200209028,2.0,2.0,
2096,03200200209037,1.0,2.0,
2097,03200200209037,2.0,2.0,
2098,03200200209046,1.0,2.0,
2099,03200200209046,2.0,2.0,
2100,03200200209055,1.0,2.0,
2101,03200200209055,2.0,2.0,
2102,03200200209064,1.0,2.0,
2103,03200200209064,2.0,2.0,
2104,03200200209073,1.0,2.0,
2105,03200200209073,2.0,2.0,
2106,03200200209082,1.0,2.0,
2107,03200200209082,2.0,2.0,
2108,03200200209091,1.0,2.0,
2109,03200200209091,2.0,2.0,
2110,03200200209100,1.0,2.0,
2111,03200200209100,2.0,2.0,
2112,03210100412010,1.0,2.0,
2113,03210100412010,2.0,2.0,
2114,03210100412027,1.0,2.0,
2115,03210100412027,2.0,2.0,
2116,03210100412044,1.0,2.0,
2117,03210100412044,2.0,2.0,
2118,03210100412061,1.0,2.0,
2119,03210100412061,2.0,2.0,
2120,03210100412078,1.0,2.0,
2121,03210100412078,2.0,2.0,
2122,03210100412095,1.0,2.0,
2123,03210100412095,2.0,2.0,
2124,03210100412112,1.0,2.0,
2125,03210100412112,2.0,2.0,
2126,03210100412129,1.0,2.0,
2127,03210100412129,2.0,2.0,
2128,03210100412146,1.0,2.0,
2129,03210100412146,2.0,2.0,
2130,03210100412163,1.0,2.0,
2131,03210100412163,2.0,2.0,
2132,03210100412180,1.0,2.0,
2133,03210100412180,2.0,2.0,
2134,03210100412197,1.0,2.0,
2135,03210100412197,2.0,2.0,
2136,03210100808015,,,
2137,03210100808032,1.0,2.0,
2138,03210100808032,2.0,2.0,
2139,03210100808049,1.0,2.0,
2140,03210100808049,2.0,2.0,
2141,03210100808066,1.0,2.0,
2142,03210100808066,2.0,2.0,
2143,03210100808083,1.0,2.0,
2144,03210100808083,2.0,2.0,
2145,03210100808100,1.0,2.0,
2146,03210100808100,2.0,2.0,
2147,03210100808117,1.0,2.0,
2148,03210100808117,2.0,2.0,
2149,03210100808134,1.0,2.0,
2150,03210100808134,2.0,2.0,
2151,03210100808151,1.0,2.0,
2152,03210100808151,2.0,2.0,
2153,03210100808168,1.0,2.0,
2154,03210100808168,2.0,2.0,
2155,03210100808185,1.0,2.0,
2156,03210100808185,2.0,2.0,
2157,03210100808202,1.0,2.0,
2158,03210100808202,2.0,2.0,
2159,03210101214002,1.0,2.0,
2160,03210101214002,2.0,2.0,
2161,03210101214015,1.0,2.0,
2162,03210101214015,2.0,2.0,
2163,03210101214028,1.0,2.0,
2164,03210101214028,2.0,2.0,
2165,03210101214041,1.0,2.0,
2166,03210101214041,2.0,2.0,
2167,03210101214054,1.0,2.0,
2168,03210101214054,2.0,2.0,
2169,03210101214067,1.0,2.0,
2170,03210101214067,2.0,2.0,
2171,03210101214080,1.0,2.0,
2172,03210101214080,2.0,2.0,
2173,03210101214093,1.0,2.0,
2174,03210101214093,2.0,2.0,
2175,03210101214106,1.0,2.0,
2176,03210101214106,2.0,2.0,
2177,03210101214119,1.0,2.0,
2178,03210101214119,2.0,2.0,
2179,03210101214132,1.0,2.0,
2180,03210101214132,2.0,2.0,
2181,03210101214145,1.0,2.0,
2182,03210101214145,2.0,2.0,
2183,03210300832020,1.0,2.0,
2184,03210300832020,2.0,2.0,
2185,03210300832067,1.0,1.0,1.0
2186,03210300832067,2.0,2.0,
2187,03210300832114,1.0,2.0,
2188,03210300832114,2.0,2.0,
2189,03210300832161,1.0,2.0,
2190,03210300832161,2.0,2.0,
2191,03210300832208,1.0,2.0,
2192,03210300832208,2.0,2.0,
2193,03210300832255,1.0,2.0,
2194,03210300832255,2.0,2.0,
2195,03210300832302,1.0,2.0,
2196,03210300832302,2.0,2.0,
2197,03210300832349,1.0,2.0,
2198,03210300832349,2.0,2.0,
2199,03210300832396,1.0,2.0,
2200,03210300832396,2.0,2.0,
2201,03210300832443,1.0,2.0,
2202,03210300832443,2.0,2.0,
2203,03210300832490,1.0,2.0,
2204,03210300832490,2.0,2.0,
2205,03210300832537,1.0,2.0,
2206,03210300832537,2.0,2.0,
2207,04220201601001,2.0,2.0,
2208,04220201601001,2.0,2.0,
2209,04220201601002,1.0,2.0,
2210,04220201601002,2.0,2.0,
2211,04220201601003,2.0,2.0,
2212,04220201601003,2.0,2.0,
2213,04220201601004,2.0,2.0,
2214,04220201601004,2.0,2.0,
2215,04220201601005,1.0,2.0,
2216,04220201601005,2.0,2.0,
2217,04220201601006,2.0,2.0,
2218,04220201601006,2.0,2.0,
2219,04220201601007,1.0,2.0,
2220,04220201601007,2.0,2.0,
2221,04220201601008,1.0,2.0,
2222,04220201601008,2.0,2.0,
2223,04220201601009,2.0,2.0,
2224,04220201601009,2.0,2.0,
2225,04220201601010,1.0,2.0,
2226,04220201601010,1.0,2.0,
2227,04220201601011,1.0,2.0,
2228,04220201601011,2.0,2.0,
2229,04220201601012,1.0,2.0,
2230,04220201601012,2.0,2.0,
2231,04220202602001,1.0,1.0,1.0
2232,04220202602001,2.0,2.0,
2233,04220202602002,1.0,2.0,
2234,04220202602002,2.0,2.0,
2235,04220202602003,1.0,2.0,
2236,04220202602003,1.0,2.0,
2237,04220202602004,1.0,2.0,
2238,04220202602004,2.0,2.0,
2239,04220202602005,1.0,2.0,
2240,04220202602005,2.0,2.0,
2241,04220202602006,1.0,2.0,
2242,04220202602006,2.0,2.0,
2243,04220202602007,1.0,2.0,
2244,04220202602007,2.0,2.0,
2245,04220202602008,1.0,2.0,
2246,04220202602008,2.0,2.0,
2247,04220202602009,1.0,1.0,1.0
2248,04220202602009,2.0,2.0,
2249,04220202602010,1.0,2.0,
2250,04220202602010,2.0,2.0,
2251,04220202602011,1.0,2.0,
2252,04220202602011,2.0,2.0,
2253,04220202602012,1.0,1.0,1.0
2254,04220202602012,2.0,2.0,
2255,04220800303001,1.0,2.0,
2256,04220800303001,2.0,2.0,
2257,04220800303002,1.0,2.0,
2258,04220800303002,2.0,2.0,
2259,04220800303003,1.0,2.0,
2260,04220800303003,1.0,2.0,
2261,04220800303004,1.0,2.0,
2262,04220800303004,2.0,2.0,
2263,04220800303005,1.0,2.0,
2264,04220800303005,2.0,2.0,
2265,04220800303006,1.0,2.0,
2266,04220800303006,1.0,2.0,
2267,04220800303007,1.0,2.0,
2268,04220800303007,2.0,2.0,
2269,04220800303008,1.0,2.0,
2270,04220800303008,2.0,2.0,
2271,04220800303009,1.0,2.0,
2272,04220800303009,2.0,2.0,
2273,04220800303010,1.0,2.0,
2274,04220800303010,2.0,2.0,
2275,04220800303011,1.0,2.0,
2276,04220800303011,2.0,2.0,
2277,04220800303012,1.0,2.0,
2278,04220800303012,2.0,2.0,
2279,04221700103001,1.0,2.0,
2280,04221700103001,2.0,2.0,
2281,04221700103002,1.0,2.0,
2282,04221700103002,2.0,2.0,
2283,04221700103003,1.0,2.0,
2284,04221700103003,2.0,2.0,
2285,04221700103004,1.0,2.0,
2286,04221700103004,2.0,2.0,
2287,04221700103005,1.0,2.0,
2288,04221700103005,2.0,2.0,
2289,04221700103006,1.0,2.0,
2290,04221700103006,2.0,2.0,
2291,04221700103007,1.0,2.0,
2292,04221700103007,2.0,2.0,
2293,04221700103008,1.0,2.0,
2294,04221700103008,2.0,2.0,
2295,04221700103009,1.0,2.0,
2296,04221700103009,2.0,2.0,
2297,04221700103010,1.0,2.0,
2298,04221700103010,2.0,2.0,
2299,04221700103011,1.0,2.0,
2300,04221700103011,2.0,2.0,
2301,04221700103012,1.0,2.0,
2302,04221700103012,2.0,2.0,
2303,04230200302001,1.0,2.0,
2304,04230200302001,2.0,2.0,
2305,04230200302002,1.0,1.0,1.0
2306,04230200302002,2.0,2.0,
2307,04230200302003,1.0,2.0,
2308,04230200302003,1.0,2.0,
2309,04230200302004,1.0,2.0,
2310,04230200302004,2.0,2.0,
2311,04230200302005,1.0,2.0,
2312,04230200302005,2.0,2.0,
2313,04230200302006,1.0,1.0,1.0
2314,04230200302006,1.0,2.0,
2315,04230200302007,1.0,2.0,
2316,04230200302007,2.0,2.0,
2317,04230200302008,1.0,2.0,
2318,04230200302008,2.0,2.0,
2319,04230200302009,2.0,2.0,
2320,04230200302009,2.0,2.0,
2321,04230200302010,2.0,2.0,
2322,04230200302010,2.0,2.0,
2323,04230200302011,1.0,2.0,
2324,04230200302011,2.0,2.0,
2325,04230200302012,1.0,2.0,
2326,04230200302012,2.0,2.0,
2327,04231300304001,1.0,2.0,
2328,04231300304001,2.0,2.0,
2329,04231300304002,1.0,2.0,
2330,04231300304002,2.0,2.0,
2331,04231300304003,1.0,2.0,
2332,04231300304003,2.0,1.0,1.0
2333,04231300304004,2.0,2.0,
2334,04231300304004,2.0,2.0,
2335,04231300304005,2.0,2.0,
2336,04231300304005,2.0,2.0,
2337,04231300304006,1.0,2.0,
2338,04231300304006,2.0,2.0,
2339,04231300304007,1.0,2.0,
2340,04231300304007,2.0,2.0,
2341,04231300304008,1.0,2.0,
2342,04231300304008,2.0,2.0,
2343,04231300304009,1.0,2.0,
2344,04231300304009,2.0,2.0,
2345,04231300304010,1.0,2.0,
2346,04231300304010,2.0,2.0,
2347,04231300304011,1.0,2.0,
2348,04231300304011,2.0,2.0,
2349,04231300304012,2.0,2.0,
2350,04231300304012,2.0,2.0,
2351,04231301905001,1.0,2.0,
2352,04231301905001,2.0,2.0,
2353,04231301905002,1.0,1.0,1.0
2354,04231301905002,2.0,2.0,
2355,04231301905003,1.0,2.0,
2356,04231301905003,2.0,2.0,
2357,04231301905004,2.0,2.0,
2358,04231301905004,2.0,2.0,
2359,04231301905005,1.0,2.0,
2360,04231301905005,2.0,2.0,
2361,04231301905006,1.0,2.0,
2362,04231301905006,2.0,2.0,
2363,04231301905007,1.0,2.0,
2364,04231301905007,2.0,2.0,
2365,04231301905008,1.0,2.0,
2366,04231301905008,2.0,2.0,
2367,04231301905009,1.0,2.0,
2368,04231301905009,2.0,2.0,
2369,04231301905010,1.0,2.0,
2370,04231301905010,2.0,2.0,
2371,04231301905011,2.0,2.0,
2372,04231301905011,2.0,2.0,
2373,04231301905012,2.0,2.0,
2374,04231301905012,2.0,2.0,
2375,04231700111001,1.0,2.0,
2376,04231700111001,2.0,2.0,
2377,04231700111002,1.0,2.0,
2378,04231700111002,2.0,2.0,
2379,04231700111003,1.0,2.0,
2380,04231700111003,2.0,2.0,
2381,04231700111004,1.0,2.0,
2382,04231700111004,2.0,2.0,
2383,04231700111005,1.0,2.0,
2384,04231700111005,2.0,2.0,
2385,04231700111006,1.0,2.0,
2386,04231700111006,2.0,2.0,
2387,04231700111007,1.0,2.0,
2388,04231700111007,2.0,2.0,
2389,04231700111008,1.0,2.0,
2390,04231700111008,2.0,2.0,
2391,04231700111009,1.0,2.0,
2392,04231700111009,2.0,2.0,
2393,04231700111010,1.0,2.0,
2394,04231700111010,2.0,2.0,
2395,04231700111011,1.0,2.0,
2396,04231700111011,2.0,2.0,
2397,04231700111012,1.0,2.0,
2398,04231700111012,2.0,2.0,
2399,04231700304001,1.0,2.0,
2400,04231700304001,2.0,2.0,
2401,04231700304002,1.0,2.0,
2402,04231700304002,2.0,2.0,
2403,04231700304003,1.0,2.0,
2404,04231700304003,2.0,2.0,
2405,04231700304004,1.0,2.0,
2406,04231700304004,2.0,2.0,
2407,04231700304005,2.0,2.0,
2408,04231700304005,2.0,2.0,
2409,04231700304006,1.0,2.0,
2410,04231700304006,2.0,2.0,
2411,04231700304007,1.0,2.0,
2412,04231700304007,2.0,2.0,
2413,04231700304008,1.0,2.0,
2414,04231700304008,2.0,2.0,
2415,04231700304009,1.0,2.0,
2416,04231700304009,2.0,2.0,
2417,04231700304010,1.0,2.0,
2418,04231700304010,2.0,2.0,
2419,04231700304011,1.0,2.0,
2420,04231700304011,2.0,2.0,
2421,04231700304012,1.0,2.0,
2422,04231700304012,2.0,2.0,
2423,04231700417001,1.0,2.0,
2424,04231700417001,2.0,2.0,
2425,04231700417002,1.0,2.0,
2426,04231700417002,2.0,2.0,
2427,04231700417003,1.0,2.0,
2428,04231700417003,2.0,2.0,
2429,04231700417004,1.0,2.0,
2430,04231700417004,2.0,2.0,
2431,04231700417005,1.0,2.0,
2432,04231700417005,2.0,2.0,
2433,04231700417006,1.0,2.0,
2434,04231700417006,2.0,2.0,
2435,04231700417007,1.0,2.0,
2436,04231700417007,2.0,2.0,
2437,04231700417008,1.0,2.0,
2438,04231700417008,2.0,2.0,
2439,04231700417009,1.0,2.0,
2440,04231700417009,1.0,2.0,
2441,04231700417010,1.0,2.0,
2442,04231700417010,2.0,2.0,
2443,04231700417011,1.0,2.0,
2444,04231700417011,1.0,2.0,
2445,04231700417012,1.0,2.0,
2446,04231700417012,1.0,2.0,
2447,04231700602001,1.0,2.0,
2448,04231700602001,2.0,2.0,
2449,04231700602002,1.0,2.0,
